siteId,regionId,regionName,continent,classification,broadTerrain,specificTerrain,poiCount,poiTypeList,poiIdAndLabelList,proposedSiteName,namingNotes
SITE-156,R23,Highwater,Southwestern,CITY,FRESHWATER | WETLAND,BOG | DELTA | FLOODPLAIN | MUDFLAT | RIVER,0,,,,
SITE-157,R23,Highwater,Southwestern,TOWN,FRESHWATER | WETLAND,BOG | DELTA | FLOODPLAIN | MUDFLAT,1,WETLAND,POI-079 [WETLAND] Southern Blackmarsh,,
SITE-158,R23,Highwater,Southwestern,VILLAGE,GRASSLAND,STEPPE,2,RIVER | RAPIDS,POI-048 [RIVER] Southern Great River; POI-071 [RAPIDS] Southern Great River Rapids,,
SITE-159,R23,Highwater,Southwestern,HAMLET,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | RAIN_FOREST,0,,,,
SITE-160,R23,Highwater,Southwestern,HAMLET,FOREST,FOREST_FLOOR | RAIN_FOREST,0,,,,
SITE-161,R23,Highwater,Southwestern,HAMLET,MOUNTAIN,ALPINE | PLATEAU,0,,,,
SITE-162,R24,Southcanopy,Southwestern,METROPOLIS,BUILT_ENVIRONMENT | COASTAL | FOREST | GENERALIST,CASTLE | CITY | ESTUARY | FOREST_FLOOR | GENERALIST | RAIN_FOREST | ROAD | VILLAGE | WORKSHOP,0,,,,
SITE-163,R24,Southcanopy,Southwestern,CITY,COASTAL,ESTUARY,0,,,,
SITE-164,R24,Southcanopy,Southwestern,TOWN,GRASSLAND,STEPPE,0,,,,
SITE-165,R24,Southcanopy,Southwestern,VILLAGE,GRASSLAND,SAVANNA,0,,,,
SITE-166,R24,Southcanopy,Southwestern,HAMLET,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | RAIN_FOREST,0,,,,
SITE-167,R24,Southcanopy,Southwestern,HAMLET,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | RAIN_FOREST,0,,,,
SITE-168,R24,Southcanopy,Southwestern,HAMLET,FOREST,FOREST_FLOOR | RAIN_FOREST,0,,,,
SITE-169,R25,Marshroot,Southwestern,METROPOLIS,BUILT_ENVIRONMENT | FOREST | GENERALIST,CASTLE | CITY | FOREST_FLOOR | GENERALIST | RAIN_FOREST | ROAD | VILLAGE | WORKSHOP,1,OCEAN,POI-092 [OCEAN] Southern Ocean,,
SITE-170,R25,Marshroot,Southwestern,CITY,FRESHWATER | WETLAND,BOG | DELTA | FLOODPLAIN | MUDFLAT,0,,,,
SITE-171,R25,Marshroot,Southwestern,TOWN,FRESHWATER | GRASSLAND,FLOODPLAIN | RIVER | SAVANNA,0,,,,
SITE-172,R25,Marshroot,Southwestern,VILLAGE,COASTAL | GRASSLAND,ESTUARY | STEPPE,1,WHIRLPOOL,POI-011 [WHIRLPOOL] Ocean Whirlpool,,
SITE-173,R25,Marshroot,Southwestern,HAMLET,POLAR_ICE,GLACIER | PACK_ICE,0,,,,
SITE-174,R25,Marshroot,Southwestern,HAMLET,FOREST,FOREST_FLOOR | RAIN_FOREST,0,,,,
SITE-175,R25,Marshroot,Southwestern,HAMLET,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | RAIN_FOREST,1,PLATEAU,POI-088 [PLATEAU] Eastern Grassland Upland,,
